Number,Frecuencia relativa
1,0.0005803806240606875
2,0.0023709698094811376
3,0.003474154759989331
4,0.0012556154326603833
5,0.0006182357169776244
6,0.0005311257128193362
7,0.000524487843921576
8,0.003588441546229029
9,0.0004422840906877193
10,0.0003988012393574639
11,0.00040019615383597875
12,0.0003186658075917499
13,0.0008835099703917377
14,0.0003224176465339622
15,0.0003492577251205579
16,0.00037215356276790477
17,0.0001375674278811177
18,0.00013145866447520792
19,0.009755550857740127
20,0.0006515693629642029
21,0.00022289771356681797
22,0.00026580335890596376
23,0.0003753762962182666
24,0.00044473721614993504
25,0.00027763608172371026
26,0.0006151091845257808
27,0.0008674925041384467
28,0.0005750414686429238
29,0.0008365157826155657
30,0.0009571518347574688
31,0.0005220347184593603
32,0.0017506657710353705
33,0.0007427679095595173
34,0.0015784659836876778
35,0.0008179008894022815
36,0.0009277624297101392
37,0.0004223223834951795
38,0.00257587793632504
39,0.0007263656393121532
40,0.0008527737513651523
41,0.0005375230792208007
42,0.0004468055376180777
43,0.0005475279830667002
44,0.0005046223377275544
45,0.0004950984388742463
46,0.0004594078684239703
47,0.0007672029631831563
48,0.000941903976492324
49,0.0005408901141689401
50,0.00029985851238142924
51,0.0008333411496644629
52,0.0007322339002217674
53,0.0005099614931453181
54,0.000691300375352246
55,0.0004857669420179747
56,0.0005777831971006943
57,0.0005949550753362045
58,0.0006910117723566911
59,0.0012588862666100043
60,0.001031178503117273
61,0.0008516193393829331
62,0.0006647970002604642
63,0.0005598417108770381
64,0.00045320290401954226
65,0.00046330400886396
66,0.0009336306906197533
67,0.0004966376548505386
68,0.0008135237439697005
69,0.00028735238257405495
70,0.0003216961390450752
71,0.00037051814579309425
72,0.00039269247595155414
73,0.00046652674231432187
74,0.00041202887665372525
75,0.0028323497983747323
76,0.0005577733894088953
77,0.0004266514284285014
78,0.00039047985298563406
79,0.0007524361099106029
80,0.0005551278619496432
81,0.0004029859827930084
82,0.0005795148150740231
83,0.000372249763766423
84,0.0002910561210170081
85,0.0005267966678860143
86,0.0002769145742348233
87,0.00038908493850711923
88,0.0003575791114923877
89,0.00028677517658294533
90,0.0003090457077399235
91,0.0002984635979029144
92,0.0003874976220315679
93,0.0002771069762318598
