Number,Frecuencia
0,0.5156909301944779
1,0.0003542030912498423
2,5.3082830135667595e-05
3,4.8243261271898904e-05
4,6.802071198289064e-05
5,0.0001322307398210815
6,3.688742252069363e-05
7,7.118357982299143e-05
8,0.002574955490256519
9,3.136193051087899e-05
10,6.318114311912194e-05
11,5.239690698962164e-05
12,0.000187104591504758
13,0.0003912810479777709
14,3.707795672792862e-05
15,4.488985922456312e-05
16,0.00012114164896000522
17,6.375274574082691e-05
18,2.7703673731967224e-05
19,0.005943600274171103
20,0.00020246164860789802
21,6.706804094671569e-05
22,4.317505135944823e-05
23,9.279015892343905e-05
24,0.0002874399050347026
25,0.00010197390771216546
26,9.842997145759468e-05
27,8.440665380509958e-05
28,0.00017239535070621693
29,0.00017875919322786553
30,0.00013238316718686952
31,0.00013912807812298809
32,0.00012716252990863084
33,0.00015364678471429415
34,0.0002278789118530454
35,0.00020154708441317008
36,0.0004349895951174771
37,7.522290501637318e-05
38,0.0002153798678584302
39,0.0001842465783962332
40,0.0002787515451847871
41,0.00013619385133156926
42,9.237098366752208e-05
43,8.692170534060143e-05
44,0.00014629216431502362
45,0.00016126815300369365
46,9.66770567510328e-05
47,9.97637109082396e-05
48,0.00035976669010110394
49,0.00013863268918417712
50,0.00013028729090728465
51,0.00022338230456229967
52,0.0003683026225852314
53,0.00016290674718591456
54,0.00039699707419482054
55,0.00023889178903122767
56,0.00030146322268719764
57,0.0003647967931721076
58,0.0002136650599933153
59,0.00039734003576784354
60,0.0002618702144237672
61,0.0003295098579921879
62,0.0002247160440129446
63,0.0002928510765201762
64,0.00022951750603526628
65,0.00020467184541182387
66,0.00021469394471238423
67,0.00023710076748321879
68,0.0003016918637358797
69,0.0001311637482605656
70,0.0001916774124783977
71,0.0001281152009448058
72,0.0001572669346517589
73,0.0002590122013152424
74,0.00020280461018092099
75,0.0013830115966358824
76,0.0002577546755474915
77,0.00015802907148069887
78,0.00018024536004429843
79,0.00019777450710991733
80,0.00023675780591019582
81,0.00010315521979702239
82,0.0003098086209640901
83,0.00013215452613818754
84,0.00014312929647492282
85,0.0002042145633144599
86,0.0001013641982490135
87,0.00011946494793633734
88,0.00013306909033291547
89,0.00012293267050801412
90,0.00012369480733695406
91,0.00013013486354149665
92,0.00017875919322786553
93,0.0001029265787483404
94,8.932243635176227e-05
95,8.013868756303585e-05
96,0.00012209431999618016
97,0.00015494241732349207
98,0.00015955334513857876
99,0.00010810910918513206
100,0.00014568245485187167
101,0.00012662903412837288
102,0.00010006856563981558
103,9.747730042141974e-05
104,0.0003304244221869158
105,7.888116179528494e-05
106,0.0001468637669367286
107,0.00015974387934581375
108,9.3552295752379e-05
109,0.00013798487287957815
110,9.107535105832417e-05
111,0.00017548200486342374
112,0.00019876528498753926
113,0.00010418410451609132
114,0.00013066835932175463
115,0.00012026519160672429
116,0.0001545232420675751
117,0.0002621750691553432
118,0.0001605441230162007
119,0.00011096712229365689
120,0.0001589817425168738
121,0.00012079868738698226
122,0.00014861668164329047
123,8.535932484127452e-05
124,0.0001214846105330282
125,0.00023919664376280365
126,0.00016279242666157357
127,0.000389718667478444
128,0.00024445538788248934
129,0.00023797722483649973
130,0.0002790945067578101
131,0.0003311484521744088
132,0.0001796737574225935
133,0.00023774858378781776
134,0.0001342122955763254
135,0.00023298522860694306
136,0.00018519924943240812
137,0.00018013103951995744
138,0.00017654899642393967
139,0.00015322760945837719
140,0.00014556813432753065
141,0.00010780425445355609
142,0.0001296775814441327
143,0.00015193197684917924
144,0.00016164922141816363
145,0.0001746055475101428
146,0.00012502854678759899
147,0.0002257830355734605
148,0.00025996487235141735
149,0.00029349889282477516
150,0.00018317958683571726
151,0.0002997484148220828
152,0.00021728520993078007
153,0.0002401112079575316
154,0.00034376181669336494
155,0.00031407658720615387
156,0.0002897263155215224
157,0.00025188622196465384
158,0.00027391197632101844
159,0.00036418708370895565
160,0.00031022779622000713
161,0.00027368333527233647
162,0.00026720517222634686
163,0.00017609171432657572
164,0.00021320777789595133
165,0.00028427703719460177
166,0.00024232140476145746
167,0.000280352032525561
168,0.0001885526514797439
169,0.0001920965877343147
170,0.00013360258611317343
171,0.00019525945557441547
172,0.00014320551015781682
173,0.00020192815282764004
174,0.00013043971827307263
175,0.00014400575382820377
176,0.0001387851165499651
177,0.00015650479782281898
178,0.00021568472259000617
179,0.0001919060535270797
180,0.00013649870606314524
181,0.00016431670031945346
182,0.00021637064573605213
183,0.00019586916503756745
184,0.00020520534119208183
185,0.00024868524728310606
186,0.00021145486318938943
187,0.00013123996194345957
188,0.00016675553817206132
189,0.00010795668181934407
190,0.00017216670965753496
191,0.00020406213594867192
192,0.0001917536261612917
193,0.00025485855559751966
194,0.00022395390718400464
195,0.00015989630671160176
196,0.00019224901510010267
197,0.00017681574431406867
198,0.0001574193620175469
199,0.00015844824673661584
200,0.0001994893149750322
201,0.00015619994309124297
202,0.00017372909015686186
203,0.0002149987994439602
204,0.00019682183607374238
205,0.00022688813397542346
206,0.00023759615642202975
207,0.00015928659724844977
208,0.00018028346688574545
209,0.00026263235125270715
210,0.00019438299822113455
211,0.00020406213594867192
212,0.00018660920256594702
213,0.00018180774054362534
214,0.00016797495709836523
215,0.00015551401994519704
216,0.00016946112391479814
217,0.0002290983307793493
218,0.00023005100181552424
219,0.00011626397325478954
220,0.0001886288651626379
221,0.0001917536261612917
222,0.0001733099149009449
223,0.00012918219250532173
224,0.00018138856528770837
225,0.0001340217613690904
226,0.00015223683158075525
227,0.00017426258593711982
228,0.00013463147083224235
229,0.0001496455663623594
230,0.0001933160066606186
231,0.00016915626918322216
232,0.00024864714044165907
233,0.0002433502894805264
234,0.00013310719717436246
235,0.0001655742260872044
236,0.0001686608802444112
237,0.00015696207992018293
238,0.00023130852758327516
239,0.00013184967140661153
240,0.0001324212740283165
241,0.00014587298905910666
242,0.00013291666296712747
243,0.00017266209859634593
244,0.00012388534154418905
245,0.00015017906214261737
246,0.0001980793618414933
247,0.00022326798403795868
248,0.00025455370086594365
249,0.00011108144281799788
250,0.00017567253907065873
251,0.00019788882763425831
252,0.0001652312645141814
253,0.00015235115210509624
254,0.00016001062723594274
255,0.0001619540761497396
256,0.00019796504131715232
257,0.00013985210811048103
258,0.0001356222487098643
259,0.0001731574875351569
260,0.00011428241749954566
261,0.0001234280594468251
262,0.0001635164566490665
263,0.00018104560371468538
264,0.00018215070211664833
265,0.00018824779674816793
266,0.00013977589442758703
267,0.00015871499462674483
268,0.0001885907583211909
269,0.00015345625050705916
270,0.00014796886533869152
271,0.00019663130186650739
272,0.00013219263297963452
273,0.00015204629737352026
274,0.00010578459185686521
275,0.00010643240816146418
276,0.00016606961502601536
277,0.00014796886533869152
278,0.00015978198618726074
279,0.0001215227173744752
280,0.00014091909967099697
281,0.0001480450790215855
282,0.00016366888401485452
283,0.00016275431982012655
284,0.00010875692548973102
285,0.00012674335465271387
286,0.00030900837729370316
287,0.0001542564941774461
288,0.00014613973694923562
289,0.00017662521010683368
290,0.00036205310058792377
291,0.0002821430540735699
292,0.00022441118928136862
293,0.00010643240816146418
294,0.0004180701575150102
295,0.00032661373804221606
296,0.00015257979315377821
297,0.00017087107704833704
298,0.00018291283894558827
299,0.00039680653998758555
300,0.0001669841792207433
301,0.00012895355145663972
302,0.00027067289479802367
303,0.00016324970875893752
304,0.00015833392621227485
305,9.50003557273649e-05
306,0.00015837203305372184
307,0.00018630434783437104
308,0.0001577242167491229
309,0.00011508266116993263
310,0.00012678146149416086
